player_id,player_name,timestamp,minute,distance_m,speed_mps,accel_mps2,heart_rate,pass_attempted,pass_completed,shot_xg,x,y,sprint
10,Alex,2022-01-01T10:00:00Z,0,20,3.2,0.5,120,2,2,0.05,30,40,0
10,Alex,2022-01-01T10:01:00Z,1,130,5.5,0.7,125,1,1,0.00,35,45,0
10,Alex,2022-01-01T10:02:00Z,2,110,6.8,0.8,130,0,0,0.10,40,50,1
10,Alex,2022-01-01T10:03:00Z,3,90,7.5,0.9,140,1,1,0.00,50,60,1
10,Alex,2022-01-01T10:04:00Z,4,150,7.8,1.0,150,1,0,0.15,60,70,1
10,Alex,2022-01-01T10:05:00Z,5,80,4.0,0.3,135,0,0,0.00,65,65,0
7,Blake,2022-01-01T10:00:00Z,0,30,3.0,0.4,110,1,1,0.00,20,30,0
7,Blake,2022-01-01T10:01:00Z,1,140,5.0,0.6,118,1,1,0.00,25,35,0
7,Blake,2022-01-01T10:02:00Z,2,120,6.0,0.7,125,0,0,0.05,30,40,1
7,Blake,2022-01-01T10:03:00Z,3,100,6.5,0.9,132,2,1,0.00,45,55,1
7,Blake,2022-01-01T10:04:00Z,4,160,8.2,1.1,155,1,1,0.20,70,80,1
7,Blake,2022-01-01T10:05:00Z,5,70,3.8,0.2,128,0,0,0.00,75,75,0

